time,EAR
21:52:335041,1
21:52:335041,1
21:52:335041,1
21:52:335041,1
21:52:335041,1
21:52:335041,1
21:52:335041,1
21:52:335041,1
21:52:335041,1
21:52:335041,1
21:54:404054,1
21:54:404054,1
21:54:404054,1
21:54:404054,1
21:54:404054,1
21:54:404054,1
21:54:404054,1
21:54:404054,1
21:54:404054,1
21:54:404054,1
21:56:479269,1
21:56:479269,1
21:56:479269,1
21:56:479269,1
21:56:479269,0
21:56:479269,0
21:56:479269,0
21:56:479269,0
21:56:479269,0
21:56:479269,0
21:58:619485,0
21:58:619485,0
21:58:619485,0
21:58:619485,0
21:58:619485,0
21:58:619485,0
21:58:619485,0
21:58:619485,0
21:58:619485,0
21:58:619485,0
22:00:719149,0
22:00:719149,0
22:00:719149,0
22:00:719149,0
22:00:719149,0
22:00:719149,0
22:00:719149,0
22:00:719149,0
22:00:719149,0
22:00:719149,0
22:02:811650,0
22:02:811650,0
22:02:811650,0
22:02:811650,0
22:02:811650,0
22:02:811650,0
22:02:811650,0
22:02:811650,0
22:02:811650,0
22:02:811650,0
22:04:915801,0
22:04:915801,0
22:04:915801,0
22:04:915801,0
22:04:915801,0
22:04:915801,0
22:04:915801,0
22:04:915801,0
22:04:915801,0
22:04:915801,0
22:06:982992,0
22:06:982992,0
22:06:982992,0
22:06:982992,0
22:06:982992,0
22:06:982992,0
22:06:982992,0
22:06:982992,0
22:06:982992,0
22:06:982992,0
22:09:083291,0
22:09:083291,0
22:09:083291,0
22:09:083291,0
22:09:083291,0
22:09:083291,0
22:09:083291,0
22:09:083291,0
22:09:083291,0
22:09:083291,0
22:11:178394,0
22:11:178394,0
22:11:178394,0
22:11:178394,0
22:11:178394,0
22:11:178394,0
22:11:178394,0
22:11:178394,0
22:11:178394,0
22:11:178394,0
